order_id,customer_id,product_id,category,amount,order_date,returned,total_amount
O100054,C17734,P211544,Grocery,20,29-12-2023,No,19
O100055,C11267,P221514,Grocery,7,23-11-2023,No,13
O100056,C16975,P216327,Toys,5,18-12-2023,No,5
O100057,C11528,P246809,Home,167,06-12-2023,No,669
O100058,C13202,P216705,Home,134,30-10-2024,No,114
O100059,C13556,P210479,Home,123,16-08-2024,No,369
O100060,C13890,P211323,Fashion,15,01-12-2024,No,15
O100061,C10646,P212937,Beauty,10,13-11-2023,No,10
O100062,C16164,P223089,Electronics,369,26-06-2024,No,369
O100063,C12888,P201702,Grocery,14,24-06-2025,No,12
O100064,C16310,P210404,Home,117,22-01-2024,No,111
O100065,C15393,P233598,Grocery,20,23-06-2025,No,20
O100066,C12435,P208380,Sports,176,03-09-2025,No,149
O100067,C10600,P221990,Fashion,21,14-02-2024,Yes,21
O100068,C12363,P232859,Fashion,13,15-12-2023,No,54
O100069,C12061,P203877,Grocery,4,22-11-2023,No,3
O100070,C10241,P242871,Toys,9,30-05-2024,No,17
O100071,C12041,P218720,Fashion,150,18-10-2024,No,450
O100072,C12824,P207676,Electronics,98,21-09-2024,No,88
O100073,C17513,P231818,Sports,217,24-02-2025,No,217
O100074,C12612,P234348,Fashion,16,06-12-2024,No,32
O100075,C17041,P248555,Fashion,26,21-12-2023,No,74
O100076,C11363,P242368,Sports,23,13-02-2025,No,33
O100077,C16235,P248180,Sports,21,14-05-2024,No,41
O100078,C15486,P224130,Home,23,20-12-2023,No,23
O100079,C17099,P233241,Grocery,7,28-06-2024,No,26
O100080,C11478,P244392,Sports,83,13-03-2024,No,79
O100081,C17595,P249421,Grocery,4,23-01-2025,No,4
O100082,C12556,P226620,Fashion,138,20-04-2025,No,138
O100083,C10775,P217077,Fashion,48,23-09-2023,No,174
O100084,C14014,P212663,Electronics,753,08-06-2024,No,715
O100085,C10034,P217799,Fashion,13,04-08-2025,No,39
O100086,C16349,P247285,Grocery,3,12-06-2024,No,3
O100087,C13152,P217619,Grocery,26,18-06-2024,No,93
O100088,C11955,P203967,Toys,19,20-12-2023,No,18
O100089,C11585,P227488,Beauty,71,05-07-2024,No,61
O100090,C13943,P213211,Toys,5,09-02-2025,No,5
O100091,C17555,P221169,Beauty,4,08-07-2024,No,4
O100092,C13073,P230373,Electronics,857,10-08-2024,No,2572
O100093,C11021,P232669,Home,168,20-01-2024,No,319
O100094,C13461,P206634,Beauty,43,02-07-2025,No,130
O100095,C12613,P200840,Fashion,22,22-02-2025,No,22
O100096,C15225,P234229,Fashion,5,12-09-2023,No,5
O100097,C13843,P221318,Fashion,37,26-09-2024,No,168
O100098,C17989,P215405,Beauty,116,02-05-2025,No,98
O100099,C11500,P247771,Electronics,824,08-05-2025,No,824
O100100,C14798,P236240,Sports,17,25-02-2025,Yes,16
O100101,C16545,P215847,Home,37,04-02-2025,No,30
O100102,C16873,P223547,Fashion,23,02-05-2025,No,117
O100103,C15675,P206575,Toys,37,29-11-2024,No,31
O100104,C10161,P230123,Home,239,14-11-2024,No,191
O100105,C14297,P204843,Home,37,23-10-2023,No,37
O100106,C11981,P227451,Toys,17,21-11-2024,No,34
O100107,C10995,P207739,Home,102,08-06-2024,No,203
O100108,C16413,P214852,Toys,13,11-07-2024,No,10
O100109,C14911,P249092,Home,111,06-08-2024,No,111
O100110,C13342,P209157,Fashion,22,23-12-2023,No,63
O100111,C14551,P222406,Beauty,22,04-12-2023,No,62
O100112,C17629,P247284,Fashion,62,21-01-2025,No,59
O100113,C13798,P245200,Electronics,71,08-08-2025,No,142
O100114,C11275,P207432,Electronics,1162,29-10-2024,No,1162
O100115,C11016,P218837,Fashion,14,07-05-2025,No,14
O100116,C17869,P215148,Sports,54,03-06-2025,No,54
O100117,C16439,P211194,Toys,15,04-08-2025,No,15
O100118,C17892,P232591,Toys,3,06-05-2025,No,7
O100119,C16863,P214819,Fashion,44,12-11-2023,No,168
O100120,C17916,P206625,Sports,211,15-09-2023,No,190
O100121,C10337,P207404,Fashion,119,04-02-2025,No,119
O100122,C10878,P214674,Beauty,13,20-01-2025,No,25
O100123,C11076,P210507,Grocery,12,06-04-2025,No,9
O100124,C14887,P220387,Electronics,537,16-02-2024,Yes,457
O100125,C13993,P218697,Grocery,5,18-11-2023,No,5
O100126,C16360,P237391,Toys,17,02-10-2024,Yes,34
O100127,C14859,P219547,Toys,11,30-01-2025,No,11
O100128,C16331,P223570,Sports,57,26-02-2024,No,113
O100129,C10379,P239783,Toys,4,09-06-2025,No,4
O100130,C10492,P228037,Grocery,8,12-02-2025,No,6
O100131,C17208,P230083,Toys,5,02-09-2025,No,16
O100132,C15276,P248029,Fashion,23,06-06-2024,No,20
O100133,C12062,P240550,Beauty,13,16-04-2024,No,13
O100134,C13884,P237982,Fashion,33,16-07-2024,No,28
O100135,C10064,P239706,Grocery,34,26-07-2024,No,68
O100136,C12568,P202988,Grocery,14,13-05-2025,No,28
O100137,C15463,P205156,Beauty,93,03-04-2025,No,93
O100138,C15248,P238280,Toys,20,06-08-2024,No,19
O100139,C12027,P209788,Grocery,23,21-11-2023,No,21
O100140,C12695,P214185,Fashion,93,05-03-2024,No,177
O100141,C11495,P218734,Beauty,36,19-12-2023,No,32
O100142,C17230,P209971,Home,156,27-09-2023,No,156
O100143,C15258,P243408,Toys,13,13-02-2025,No,23
O100144,C15618,P206487,Home,120,24-02-2024,No,120
O100145,C16736,P220997,Sports,31,06-06-2024,No,28
O100146,C10391,P246456,Home,137,11-12-2023,No,123
O100147,C15794,P212452,Electronics,285,16-10-2024,No,285
O100148,C14514,P215372,Electronics,580,20-02-2025,No,1160
O100149,C16432,P244767,Electronics,807,19-12-2023,No,3227
O100150,C14474,P213434,Electronics,96,04-12-2024,No,385
O100151,C15892,P212416,Beauty,32,11-07-2025,No,159
O100152,C13561,P219248,Sports,305,05-07-2025,No,609
O100153,C12278,P246713,Electronics,862,02-01-2024,No,862
O100154,C17161,P228194,Beauty,47,17-03-2024,No,45
O100155,C16184,P233785,Beauty,4,04-12-2024,No,4
O100156,C13099,P237458,Electronics,145,14-11-2024,No,289
O100157,C16278,P208373,Home,31,18-09-2023,No,31
O100158,C10200,P230283,Sports,267,28-02-2025,No,214
O100159,C15959,P229415,Electronics,499,14-07-2025,No,474
O100160,C14875,P226414,Electronics,297,27-02-2024,No,475
O100161,C17073,P214378,Grocery,52,09-07-2025,No,52
O100162,C13104,P218336,Sports,31,01-01-2024,No,31
O100163,C17215,P204700,Home,145,10-11-2024,No,131
O100164,C14598,P213901,Beauty,26,08-04-2024,No,26
O100165,C12454,P224838,Toys,10,12-02-2024,No,8
O100166,C13645,P222597,Toys,15,09-09-2024,No,45
O100167,C15847,P233428,Fashion,18,26-04-2025,No,35
O100168,C10804,P240149,Home,159,15-10-2023,No,143
O100169,C16242,P235687,Beauty,16,18-07-2025,No,33
O100170,C12731,P229493,Electronics,58,09-04-2024,No,58
O100171,C15991,P231852,Grocery,41,03-09-2025,No,41
O100172,C12773,P210932,Home,102,10-09-2024,No,193
O100173,C11570,P223009,Home,171,27-07-2025,No,171
O100174,C15056,P233583,Grocery,4,09-08-2024,No,7
O100175,C17906,P247278,Electronics,94,27-09-2023,No,188
O100176,C16756,P227994,Electronics,806,06-09-2025,No,2177
O100177,C15581,P229865,Sports,98,31-07-2025,No,93
O100178,C12690,P212289,Home,100,02-02-2024,No,100
O100179,C13840,P228293,Toys,16,28-12-2023,No,16
O100180,C11028,P204734,Electronics,138,05-04-2025,No,138
O100181,C17385,P220013,Home,331,03-02-2024,No,331
O100182,C10502,P235521,Fashion,17,05-11-2024,No,34
O100183,C16910,P206505,Sports,27,13-11-2024,No,27
O100184,C14493,P244327,Fashion,136,10-11-2024,No,122
O100185,C10870,P247673,Home,49,08-10-2024,No,49
O100186,C16938,P204685,Toys,41,24-01-2025,No,82
O100187,C14488,P249353,Grocery,21,12-06-2024,No,41
O100188,C10206,P218409,Sports,57,13-03-2024,No,57
O100189,C15134,P219517,Home,49,04-11-2023,No,97
O100190,C15977,P244533,Beauty,38,14-09-2024,No,38
O100191,C17721,P230475,Sports,100,08-04-2025,No,189
O100192,C17035,P236989,Toys,8,31-12-2024,No,7
O100193,C11484,P215327,Grocery,30,10-04-2024,No,26
O100194,C17858,P203671,Grocery,18,18-12-2023,No,14
O100195,C17742,P204941,Toys,49,10-08-2024,No,49
O100196,C10863,P226372,Electronics,237,01-08-2025,No,237
O100197,C12790,P212466,Sports,23,24-01-2025,No,23
O100198,C17408,P218286,Toys,53,30-06-2025,No,53
O100199,C10563,P244959,Toys,20,24-05-2025,No,57
O100200,C15116,P204588,Grocery,13,23-07-2025,No,53
O100201,C14191,P228080,Home,126,22-11-2024,No,126
O100202,C16019,P224544,Sports,73,13-10-2023,No,73
O100203,C11757,P210811,Electronics,146,18-04-2025,No,291
O100204,C16628,P218733,Beauty,26,16-12-2024,No,21
O100205,C17574,P240696,Home,177,03-01-2024,No,142
O100206,C16374,P248093,Grocery,34,25-09-2024,No,34
O100207,C16892,P239888,Grocery,2,21-04-2025,No,8
O100208,C11678,P247042,Toys,8,23-06-2024,No,7
O100209,C13242,P230059,Electronics,537,16-09-2023,No,537
O100210,C14636,P237487,Home,206,08-11-2024,No,206
O100211,C11059,P240849,Sports,33,22-12-2023,No,33
O100212,C16668,P214550,Electronics,116,28-12-2023,No,332
O100213,C15279,P249122,Fashion,27,22-12-2023,No,55
O100214,C11722,P210864,Grocery,2,06-05-2024,No,4
O100215,C13314,P225394,Electronics,476,14-01-2025,No,476
O100216,C13157,P219061,Electronics,410,11-05-2024,No,410
O100217,C15915,P249699,Beauty,51,16-05-2024,No,36
O100218,C12625,P212624,Grocery,8,03-02-2024,No,40
O100219,C12729,P224934,Toys,22,21-05-2025,No,22
O100220,C16700,P203361,Grocery,42,24-11-2023,No,33
O100221,C11597,P213707,Sports,324,18-06-2025,No,324
O100222,C13060,P201924,Home,20,15-08-2024,No,20
O100223,C12693,P229487,Grocery,1,25-05-2024,No,1
O100224,C14891,P212647,Home,434,26-06-2025,Yes,434
O100225,C15147,P231734,Fashion,43,05-03-2024,No,41
O100226,C15739,P229018,Home,169,19-05-2025,No,169
O100227,C13627,P221627,Toys,50,29-07-2025,No,50
O100228,C11363,P221031,Grocery,8,13-03-2025,No,14
O100229,C17965,P239449,Fashion,34,23-01-2024,No,34
O100230,C11981,P202701,Home,34,25-09-2023,No,68
O100231,C15450,P246943,Grocery,32,15-07-2024,No,32
O100232,C11663,P242890,Electronics,389,29-03-2024,No,389
O100233,C11529,P249573,Toys,6,14-04-2024,No,6
O100234,C12038,P216719,Home,118,18-09-2024,No,212
O100235,C17515,P209718,Home,62,26-06-2025,No,159
O100236,C15592,P200056,Home,31,09-12-2024,No,31
O100237,C13302,P246741,Home,36,16-04-2025,No,35
O100238,C12237,P215352,Sports,91,10-10-2023,No,86
O100239,C17392,P247820,Grocery,12,26-10-2024,No,11
O100240,C15504,P203147,Home,215,17-07-2024,No,215
O100241,C15496,P203537,Toys,8,20-09-2024,No,29
O100242,C11306,P222812,Sports,253,03-09-2025,No,215
O100243,C14029,P200721,Fashion,41,17-06-2025,No,41
O100244,C16776,P245037,Beauty,9,12-01-2025,No,9
O100245,C12675,P216769,Sports,62,22-06-2025,No,53
O100246,C15068,P240194,Electronics,885,07-01-2024,No,2522
O100247,C15864,P246556,Home,96,02-03-2024,No,96
O100248,C11282,P246775,Grocery,28,25-06-2025,No,26
O100249,C17526,P243847,Beauty,7,15-04-2025,No,7
O100250,C10709,P214346,Fashion,126,13-02-2024,No,113
O100251,C15575,P239883,Fashion,33,12-11-2024,No,131
O100252,C15530,P210911,Fashion,140,06-09-2024,Yes,140
O100253,C14744,P200259,Home,275,25-09-2023,No,261
O100254,C14413,P220872,Fashion,58,09-02-2025,No,116
O100255,C13748,P208791,Electronics,413,30-08-2024,No,413
O100256,C17392,P207536,Home,41,11-09-2024,No,41
O100257,C17986,P220432,Beauty,26,01-12-2023,No,26
O100258,C15353,P232750,Electronics,309,27-02-2024,No,294
O100259,C14779,P241715,Electronics,182,08-08-2024,No,182
O100260,C10663,P244537,Electronics,279,18-09-2024,No,237
O100261,C11998,P219541,Fashion,135,28-02-2024,No,135
O100262,C17994,P243718,Fashion,5,15-01-2024,No,5
O100263,C13445,P216860,Beauty,16,05-01-2024,No,16
O100264,C13743,P205283,Home,63,26-11-2023,No,63
O100265,C15727,P230743,Fashion,165,10-10-2023,No,132
O100266,C11495,P242559,Toys,74,16-11-2023,No,74
O100267,C13304,P235127,Home,126,04-02-2025,No,126
O100268,C13763,P207405,Electronics,310,15-08-2024,No,310
O100269,C15232,P231181,Fashion,120,04-12-2023,Yes,120
O100270,C11853,P232205,Grocery,1,29-04-2025,No,1
O100271,C15616,P224408,Grocery,12,12-03-2025,No,10
O100272,C16585,P217645,Fashion,6,26-03-2025,No,5
O100273,C14659,P247125,Electronics,1170,18-12-2024,No,1112
O100274,C11291,P206323,Home,61,21-12-2024,No,61
O100275,C13581,P205937,Home,107,04-08-2025,No,102
O100276,C17974,P243798,Home,81,09-03-2025,No,65
O100277,C13457,P230431,Beauty,58,25-02-2025,No,49
O100278,C17554,P217882,Fashion,428,14-02-2024,No,428
O100279,C17280,P225324,Electronics,73,28-06-2024,No,131
O100280,C11636,P213003,Beauty,35,05-08-2025,No,32
O100281,C13696,P243346,Grocery,7,30-01-2025,No,12
O100282,C12999,P225106,Electronics,99,30-09-2023,No,197
O100283,C13152,P212979,Sports,61,01-12-2023,No,55
O100284,C10698,P234977,Home,838,14-03-2025,No,838
O100285,C12160,P244828,Fashion,27,13-09-2024,No,27
O100286,C14097,P207228,Toys,8,18-11-2023,No,8
O100287,C14737,P209300,Home,256,10-01-2024,No,231
O100288,C16363,P208681,Beauty,53,16-09-2024,No,105
O100289,C15685,P240964,Home,64,05-04-2025,No,64
O100290,C10854,P208267,Electronics,165,17-08-2025,Yes,132
O100291,C15855,P205372,Beauty,29,01-08-2024,No,29
O100292,C17392,P238918,Home,40,07-01-2024,No,72
O100293,C16528,P210920,Electronics,265,18-12-2024,No,795
O100294,C13474,P248769,Beauty,7,23-11-2024,No,6
O100295,C15757,P216856,Electronics,168,02-12-2023,No,479
O100296,C15249,P227785,Fashion,22,25-08-2024,No,45
O100297,C15172,P247915,Toys,25,25-08-2025,Yes,25
O100298,C11707,P217221,Electronics,158,29-05-2024,No,158
O100299,C12777,P225178,Sports,235,13-08-2024,No,223
O100300,C15791,P233954,Grocery,55,31-05-2025,No,46
O100301,C11733,P206461,Electronics,77,19-02-2024,No,74
O100302,C15535,P217865,Home,77,16-01-2025,No,77
O100303,C16390,P244232,Beauty,12,04-08-2024,No,12
O100304,C14931,P214052,Home,67,09-07-2025,No,268
O100305,C13510,P230370,Beauty,11,14-11-2024,No,11
O100306,C10202,P207332,Home,74,14-07-2025,No,66
O100307,C13255,P249383,Electronics,100,04-01-2024,No,90
O100308,C14218,P200327,Electronics,157,03-06-2024,No,141
O100309,C14496,P222765,Sports,145,21-12-2024,No,131
O100310,C10766,P205239,Fashion,26,30-03-2024,No,26
O100311,C14389,P210078,Toys,7,08-12-2023,No,7
O100312,C12327,P207038,Sports,21,06-01-2024,No,21
O100313,C12931,P208048,Electronics,189,24-06-2025,No,359
O100314,C17777,P228671,Fashion,56,11-02-2024,No,56
O100315,C10197,P214954,Fashion,19,09-08-2025,No,58
O100316,C17125,P235065,Beauty,16,08-12-2023,No,13
O100317,C11930,P245471,Toys,62,25-08-2025,No,124
O100318,C13582,P202779,Electronics,311,19-11-2024,No,311
O100319,C16895,P246474,Fashion,42,10-07-2025,No,42
O100320,C16287,P213225,Home,79,10-03-2025,No,79
O100321,C10608,P240086,Fashion,45,07-09-2025,No,90
O100322,C13272,P232541,Beauty,105,08-10-2023,No,168
O100323,C11147,P219720,Home,49,15-07-2024,No,46
O100324,C14282,P213531,Fashion,145,14-02-2024,Yes,138
O100325,C13397,P205335,Home,31,26-11-2023,No,27
O100326,C12511,P209530,Fashion,11,03-02-2024,No,32
O100327,C17516,P224791,Fashion,57,23-08-2024,No,57
O100328,C11794,P240270,Fashion,19,07-12-2023,No,49
O100329,C10659,P201649,Beauty,17,23-03-2024,No,17
O100330,C12811,P213472,Home,182,11-10-2024,No,820
O100331,C17098,P202862,Fashion,43,17-05-2025,No,43
O100332,C16051,P225185,Electronics,55,19-08-2024,No,55
O100333,C16546,P227134,Electronics,169,15-02-2024,No,169
O100334,C11369,P200917,Electronics,72,11-10-2023,No,359
O100335,C11986,P212444,Home,353,10-08-2024,No,335
O100336,C15630,P241121,Fashion,83,05-10-2023,No,141
O100337,C10146,P220521,Home,553,24-09-2023,No,553
O100338,C13219,P238217,Fashion,111,08-07-2024,No,111
O100339,C12911,P222066,Beauty,19,11-02-2025,No,56
O100340,C11734,P202811,Sports,221,31-01-2025,No,221
O100341,C11843,P236189,Home,157,27-02-2025,No,157
O100342,C10488,P209290,Electronics,292,10-08-2024,Yes,263
O100343,C12976,P235489,Electronics,200,31-07-2025,No,361
O100344,C11959,P227284,Fashion,61,25-04-2024,No,55
O100345,C15759,P224698,Home,127,09-10-2024,No,255
O100346,C16694,P243660,Electronics,360,02-07-2024,No,719
O100347,C12385,P219637,Fashion,30,14-09-2024,No,30
O100348,C12919,P248024,Grocery,19,25-12-2024,No,17
O100349,C14736,P233556,Electronics,78,12-01-2025,No,78
O100350,C11802,P216640,Grocery,18,02-09-2025,No,18
O100351,C16616,P204025,Toys,28,13-03-2025,No,28
O100352,C16065,P231476,Toys,16,04-03-2024,No,16
O100353,C16294,P206741,Toys,8,01-10-2024,No,8
O100354,C15534,P203654,Electronics,288,13-11-2024,No,288
O100355,C14061,P246348,Electronics,93,16-11-2024,No,93
O100356,C13369,P240428,Electronics,159,21-01-2024,No,159
O100357,C15730,P236019,Electronics,228,19-05-2025,No,205
O100358,C10262,P238036,Fashion,60,09-02-2025,No,60
O100359,C15883,P244549,Toys,6,29-06-2024,No,6
O100360,C16287,P229843,Fashion,13,28-04-2025,No,11
O100361,C16489,P223560,Fashion,51,04-03-2025,No,153
O100362,C10623,P246257,Sports,122,30-12-2024,No,244
O100363,C11016,P247899,Electronics,78,22-05-2024,No,74
O100364,C13643,P240330,Home,14,08-05-2025,No,14
O100365,C14976,P215987,Fashion,13,28-09-2023,No,13
O100366,C12049,P220810,Toys,47,26-06-2025,No,47
O100367,C17040,P220311,Home,157,20-12-2023,No,424
O100368,C15423,P247159,Sports,260,20-08-2025,Yes,260
O100369,C16397,P234920,Electronics,405,10-01-2025,No,405
O100370,C13723,P208738,Grocery,45,13-05-2025,No,38
O100371,C14548,P207888,Fashion,33,12-01-2025,No,33
O100372,C13108,P242864,Sports,100,26-04-2025,No,190
O100373,C15279,P205474,Grocery,13,31-07-2024,No,12
O100374,C14090,P200488,Home,10,10-05-2024,No,10
O100375,C17158,P224144,Home,14,19-08-2025,No,27
O100376,C12056,P205622,Electronics,101,08-01-2025,No,91
O100377,C17400,P231830,Home,104,17-06-2025,No,104
O100378,C13170,P236542,Toys,13,28-06-2025,No,10
O100379,C11682,P239214,Electronics,302,09-03-2024,No,287
O100380,C16959,P227648,Grocery,22,17-04-2024,No,20
O100381,C12255,P232697,Sports,180,29-05-2025,No,324
O100382,C11154,P225223,Home,507,24-08-2024,No,405
O100383,C14499,P221865,Beauty,23,17-08-2025,No,23
O100384,C16295,P208572,Electronics,189,16-07-2025,No,189
O100385,C16197,P240601,Fashion,23,09-11-2023,No,23
O100386,C13191,P243026,Fashion,25,25-06-2024,No,51
O100387,C11696,P223501,Home,62,22-04-2024,No,62
O100388,C13991,P226866,Grocery,8,20-01-2024,No,30
O100389,C14723,P212416,Home,20,01-09-2025,No,17
O100390,C14682,P225775,Beauty,28,24-01-2025,No,83
O100391,C11648,P229080,Electronics,323,13-04-2024,No,274
O100392,C15539,P204887,Sports,71,13-11-2024,No,71
O100393,C11445,P219374,Beauty,5,06-12-2023,No,5
O100394,C14199,P216605,Home,23,06-09-2024,Yes,23
O100395,C13923,P215684,Grocery,11,19-02-2024,No,11
O100396,C10253,P224002,Grocery,1,22-07-2024,No,3
O100397,C17394,P226015,Sports,137,26-12-2024,No,274
O100398,C13183,P222972,Grocery,68,18-06-2025,No,272
O100399,C12557,P200617,Beauty,25,07-09-2024,No,53
O100400,C15592,P246404,Toys,27,06-04-2025,No,22
O100401,C10098,P235338,Home,86,07-01-2025,No,86
O100402,C12200,P206309,Electronics,408,12-06-2025,No,408
O100403,C15980,P219139,Grocery,15,15-09-2024,No,15
O100404,C12961,P202790,Electronics,615,05-11-2024,No,1230
O100405,C16015,P207826,Fashion,66,23-07-2025,No,63
O100406,C14973,P212134,Electronics,499,30-11-2023,No,474
O100407,C14433,P219693,Fashion,45,19-03-2024,No,45
O100408,C13777,P204054,Fashion,38,13-11-2024,No,30
O100409,C12869,P216090,Beauty,18,09-04-2025,No,18
O100410,C13234,P223808,Grocery,8,17-11-2024,No,6
O100411,C13791,P240449,Electronics,151,24-11-2024,No,143
O100412,C10956,P215569,Toys,3,22-10-2023,No,5
O100413,C15800,P232227,Electronics,411,26-02-2025,No,411
O100414,C14067,P206508,Electronics,801,01-02-2025,No,761
O100415,C10160,P216608,Beauty,68,04-12-2024,Yes,68
O100416,C15699,P223523,Toys,19,18-04-2024,No,19
O100417,C16944,P210433,Electronics,82,31-10-2023,No,164
O100418,C14493,P231939,Fashion,109,31-10-2023,No,92
O100419,C11300,P245112,Electronics,498,20-06-2024,No,473
O100420,C14911,P224520,Grocery,5,12-07-2025,No,5
O100421,C13987,P211888,Fashion,85,25-05-2025,No,85
O100422,C11527,P230932,Home,94,15-03-2024,No,94
O100423,C16015,P219734,Grocery,30,13-12-2024,No,89
O100424,C15511,P203827,Beauty,10,19-11-2024,No,16
O100425,C15254,P216257,Grocery,22,07-09-2024,No,21
O100426,C11218,P232194,Grocery,17,31-12-2024,No,17
O100427,C14496,P231318,Home,12,07-09-2024,Yes,29
O100428,C14735,P216793,Beauty,23,08-11-2024,No,63
O100429,C13104,P234684,Fashion,67,29-03-2024,No,170
O100430,C12735,P228014,Grocery,3,08-12-2024,No,3
O100431,C14555,P202859,Fashion,42,05-04-2025,No,36
O100432,C10954,P239840,Toys,9,30-12-2024,No,9
O100433,C14565,P231856,Fashion,64,22-05-2025,No,57
O100434,C13446,P248291,Fashion,43,13-10-2023,No,41
O100435,C11045,P234819,Electronics,366,16-08-2025,Yes,585
O100436,C16893,P220085,Beauty,5,18-03-2025,No,10
O100437,C11693,P208214,Fashion,12,13-11-2024,No,12
O100438,C16181,P235736,Electronics,311,16-03-2024,No,591
O100439,C16373,P241704,Fashion,15,06-09-2025,No,10
O100440,C13436,P200601,Fashion,39,03-03-2024,No,39
O100441,C10562,P224318,Home,164,28-05-2024,No,164
O100442,C12485,P215451,Home,229,12-03-2024,No,914
O100443,C15895,P246025,Electronics,100,05-07-2024,No,95
O100444,C13354,P205274,Beauty,36,20-05-2025,No,172
O100445,C16170,P218226,Toys,11,26-12-2023,No,35
O100446,C10225,P243634,Beauty,31,02-01-2024,No,55
O100447,C17444,P230926,Grocery,3,28-10-2023,No,3
O100448,C14893,P245136,Electronics,285,19-08-2025,No,285
O100449,C17776,P219046,Toys,38,01-03-2025,No,34
O100450,C16427,P208674,Home,25,26-03-2024,No,25
O100451,C17022,P219023,Beauty,46,15-10-2024,No,118
O100452,C10959,P221910,Home,89,17-01-2025,No,85
O100453,C15600,P248230,Fashion,90,25-01-2025,No,171
O100454,C14548,P211503,Fashion,161,03-12-2023,No,323
O100455,C13067,P248392,Beauty,7,18-08-2025,No,20
O100456,C17996,P247138,Electronics,415,14-05-2024,No,373
O100457,C10815,P205368,Beauty,10,25-10-2023,No,9
O100458,C14754,P223527,Sports,24,07-02-2024,No,24
O100459,C17683,P245335,Fashion,54,04-04-2024,No,51
O100460,C14642,P222487,Fashion,11,25-11-2023,Yes,11
O100461,C15311,P236593,Fashion,36,09-12-2024,No,36
O100462,C13120,P210391,Electronics,378,16-03-2025,No,378
O100463,C17679,P209874,Electronics,275,17-04-2025,No,275
O100464,C10016,P203608,Electronics,438,13-07-2024,No,438
O100465,C17339,P230451,Electronics,575,20-12-2023,No,547
O100466,C11243,P239646,Fashion,106,15-11-2024,No,170
O100467,C12205,P233786,Fashion,45,29-01-2025,No,32
O100468,C12524,P227546,Grocery,5,16-11-2023,No,9
O100469,C11069,P242378,Grocery,10,08-07-2025,No,10
O100470,C13444,P235268,Fashion,29,19-05-2024,No,29
